source,target,Character 1,Character 2,type,weight,startPage,category
5,4,Petunia Dursley,Dudley Dursley,Directed,1,7,Exchange
4,5,Dudley Dursley,Petunia Dursley,Directed,1,7,Exchange
29,29,People in cloaks,People in cloaks,Directed,1,8,Exchange
6,4,Vernon Dursley,Dudley Dursley,Directed,1,8,Exchange
5,6,Petunia Dursley,Vernon Dursley,Directed,1,8,Exchange
4,6,Dudley Dursley,Vernon Dursley,Directed,1,8,Exchange
5,4,Petunia Dursley,Dudley Dursley,Directed,1,8,Exchange
4,5,Dudley Dursley,Petunia Dursley,Directed,1,8,Exchange
6,5,Vernon Dursley,Petunia Dursley,Directed,1,8,Exchange
34,6,Tiny old man,Vernon Dursley,Directed,1,9,Exchange
6,34,Vernon Dursley,Tiny old man,Directed,1,9,Exchange
29,29,People in cloaks,People in cloaks,Directed,1,9,Exchange
6,76,Vernon Dursley,Vernon Dursley's Secretary,Directed,1,9,Exchange
6,33,Vernon Dursley,five different people,Directed,1,9,Exchange
76,6,Vernon Dursley's Secretary,Vernon Dursley,Directed,1,9,Exchange
5,6,Petunia Dursley,Vernon Dursley,Directed,1,10,Exchange
79,38,Ted (News Reader),Viewers,Directed,1,10,Exchange
34,6,Tiny old man,Vernon Dursley,Directed,1,10,Exchange
37,38,Jim McGuffin,Viewers,Directed,1,10,Exchange
5,4,Petunia Dursley,Dudley Dursley,Directed,1,10,Exchange
37,79,Jim McGuffin,Ted (News Reader),Directed,1,10,Exchange
79,37,Ted (News Reader),Jim McGuffin,Directed,1,10,Exchange
38,79,Viewers,Ted (News Reader),Directed,1,10,Exchange
4,5,Dudley Dursley,Petunia Dursley,Directed,1,10,Exchange
19,6,Minerva McGonagall,Vernon Dursley,Directed,1,10,Exchange
80,79,Bird Experts,Ted (News Reader),Directed,1,10,Exchange
6,19,Vernon Dursley,Minerva McGonagall,Directed,1,10,Exchange
5,77,Petunia Dursley,Mrs Next Door,Directed,1,10,Exchange
6,5,Vernon Dursley,Petunia Dursley,Directed,1,10,Exchange
77,5,Mrs Next Door,Petunia Dursley,Directed,1,10,Exchange
38,37,Viewers,Jim McGuffin,Directed,1,10,Exchange
6,34,Vernon Dursley,Tiny old man,Directed,1,10,Exchange
79,80,Ted (News Reader),Bird Experts,Directed,1,10,Exchange
38,37,Viewers,Jim McGuffin,Directed,1,11,Exchange
6,5,Vernon Dursley,Petunia Dursley,Directed,1,11,Exchange
37,38,Jim McGuffin,Viewers,Directed,1,11,Exchange
5,6,Petunia Dursley,Vernon Dursley,Directed,1,11,Exchange
79,37,Ted (News Reader),Jim McGuffin,Directed,1,11,Exchange
37,79,Jim McGuffin,Ted (News Reader),Directed,1,11,Exchange
10,19,Albus Dumbledore,Minerva McGonagall,Directed,1,12,Exchange
19,10,Minerva McGonagall,Albus Dumbledore,Directed,1,12,Exchange
19,10,Minerva McGonagall,Albus Dumbledore,Directed,1,13,Exchange
79,19,Ted (News Reader),Minerva McGonagall,Directed,1,13,Exchange
10,19,Albus Dumbledore,Minerva McGonagall,Directed,1,13,Exchange
19,10,Minerva McGonagall,Albus Dumbledore,Directed,1,14,Exchange
25,11,Lily Potter,Voldemort,Directed,1,14,Exchange
10,19,Albus Dumbledore,Minerva McGonagall,Directed,1,14,Exchange
11,26,Voldemort,James Potter,Directed,1,14,Exchange
26,11,James Potter,Voldemort,Directed,1,14,Exchange
11,25,Voldemort,Lily Potter,Directed,1,14,Exchange
5,10,Petunia Dursley,Albus Dumbledore,Directed,1,15,Exchange
11,1,Voldemort,Harry Potter,Directed,1,15,Exchange
62,11,People Voldemort has killed,Voldemort,Directed,1,15,Exchange
11,25,Voldemort,Lily Potter,Directed,1,15,Exchange
11,62,Voldemort,People Voldemort has killed,Directed,1,15,Exchange
5,4,Petunia Dursley,Dudley Dursley,Directed,1,15,Exchange
10,5,Albus Dumbledore,Petunia Dursley,Directed,1,15,Exchange
11,26,Voldemort,James Potter,Directed,1,15,Exchange
25,11,Lily Potter,Voldemort,Directed,1,15,Exchange
1,11,Harry Potter,Voldemort,Directed,1,15,Exchange
4,5,Dudley Dursley,Petunia Dursley,Directed,1,15,Exchange
26,11,James Potter,Voldemort,Directed,1,15,Exchange
19,10,Minerva McGonagall,Albus Dumbledore,Directed,1,15,Exchange
6,10,Vernon Dursley,Albus Dumbledore,Directed,1,15,Exchange
10,6,Albus Dumbledore,Vernon Dursley,Directed,1,15,Exchange
10,19,Albus Dumbledore,Minerva McGonagall,Directed,1,15,Exchange
10,64,Albus Dumbledore,Rubeus Hagrid,Directed,1,16,Exchange
19,10,Minerva McGonagall,Albus Dumbledore,Directed,1,16,Exchange
10,19,Albus Dumbledore,Minerva McGonagall,Directed,1,16,Exchange
63,64,Sirius Black,Rubeus Hagrid,Directed,1,16,Exchange
