
"id","Type of Relationship <br />(choose)","Character 1 <br />(choose)","Character 2 <br />(choose)","Is Reciprocal? <br />(choose)","Narrative Container <br />(choose)","Start Page","End Page"
"22","Knows of","Evelina Harp","Severine Milk","0","The Plague of Doves","5","8"
"26","Knows of","Evelina Harp","German Settlers","0","The Plague of Doves","5","5"
"27","Knows of","Evelina Harp","Norwegian Settlers","0","The Plague of Doves","5","5"
"28","Knows of","Evelina Harp","French Settlers","0","The Plague of Doves","5","5"
"35","Knows","Evelina Harp","Clemence Harp","1","The Plague of Doves","6","8"
"37","Knows","Evelina Harp","Joseph Harp","1","The Plague of Doves","6","9"
"43","Knows of","Evelina Harp","Severine Milk's Parishioners","0","The Plague of Doves","5","5"
"44","Knows of","Evelina Harp","Severine Milk's Parishioners","0","The Plague of Doves","7","8"
"51","Knows","Evelina Harp","Geraldine Milk","1","The Plague of Doves","8","9"
"52","Knows of","Evelina Harp","""[Y]oung man on a passenger train""","0","The Plague of Doves","9","9"
"55","Knows","Evelina Harp","Uncle Whitey","1","The Plague of Doves","8","9"
"56","Knows of","Evelina Harp","""Haskell Indian Princess""","0","The Plague of Doves","9","9"
"58","Knows of","Evelina Harp","""[S]mall town stripper""","0","The Plague of Doves","9","9"
"63","Knows of","Evelina Harp","John Wildstrand","0","The Plague of Doves","9","9"
"64","Knows","Evelina Harp","Neve Harp","0","The Plague of Doves","8","9"
"65","Knows of","Evelina Harp","Maggie Peace","0","The Plague of Doves","9","9"
"67","Knows of","Evelina Harp","Octave Harp","0","The Plague of Doves","8","9"
"68","Knows of","Evelina Harp","Woman (Octave drowned himself over)","0","The Plague of Doves","9","9"
"70","Knows","Evelina Harp","Corwin Peace","1","The Million Names","9","9"
"72","Exchange","Evelina Harp","Other Children (in school with Evelina)","1","The Million Names","10","10"
"76","Knows","Evelina Harp","Clemence Harp","1","The Million Names","10","10"
"77","Knows","Evelina Harp","Edward Harp","1","The Million Names","10","10"
"80","Knows","Evelina Harp","Clemence Harp","1","The Million Names","11","11"
