source,target,type,weight,startPage,category
1132,1136,directed,1,3,Exchange
1136,1132,directed,1,3,Exchange
1132,1137,directed,1,3,Exchange
1132,1137,directed,1,4,Exchange
1137,1132,directed,1,4,Exchange
1132,1141,directed,1,4,Exchange
1141,1132,directed,1,4,Exchange
1132,1135,directed,1,4,Exchange
1135,1132,directed,1,4,Exchange
1132,1135,directed,1,5,Exchange
1135,1132,directed,1,5,Exchange
1408,1162,directed,1,5,Exchange
1162,1408,directed,1,5,Exchange
1132,1408,directed,1,5,Exchange
1132,1135,directed,1,6,Exchange
1135,1132,directed,1,6,Exchange
1145,1135,directed,1,7,Exchange
1135,1145,directed,1,7,Exchange
1132,1145,directed,1,7,Exchange
1132,1135,directed,1,7,Exchange
1135,1132,directed,1,7,Exchange
1132,1151,directed,1,8,Exchange
1151,1132,directed,1,8,Exchange
1132,1152,directed,1,8,Exchange
1152,1132,directed,1,8,Exchange
1132,1135,directed,1,9,Exchange
1135,1132,directed,1,9,Exchange
1172,1132,directed,1,10,Exchange
1132,1151,directed,1,11,Exchange
1151,1132,directed,1,11,Exchange
1132,1151,directed,1,13,Exchange
1151,1132,directed,1,13,Exchange
1138,1132,directed,1,15,Exchange
1132,1138,directed,1,15,Exchange
1132,1138,directed,1,16,Exchange
1138,1132,directed,1,16,Exchange
1141,1132,directed,1,16,Exchange
1132,1141,directed,1,16,Exchange
1141,1132,directed,1,17,Exchange
1132,1141,directed,1,17,Exchange
1141,1132,directed,1,18,Exchange
1132,1141,directed,1,18,Exchange
1135,1132,directed,1,19,Exchange
1132,1135,directed,1,19,Exchange
1166,1132,directed,1,20,Exchange
1132,1166,directed,1,20,Exchange
1167,1132,directed,1,21,Exchange
1132,1167,directed,1,21,Exchange
1132,1167,directed,1,22,Exchange
1167,1132,directed,1,22,Exchange
1132,1166,directed,1,22,Exchange
1166,1132,directed,1,22,Exchange
1132,1166,directed,1,23,Exchange
1166,1132,directed,1,23,Exchange
1132,1135,directed,1,23,Exchange
1135,1132,directed,1,23,Exchange
1175,1173,directed,1,24,Exchange
1132,1175,directed,1,24,Exchange
1132,1173,directed,1,24,Exchange
1176,1173,directed,1,24,Exchange
1173,1176,directed,1,24,Exchange
1132,1176,directed,1,24,Exchange
1132,1157,directed,1,25,Exchange
1157,1132,directed,1,25,Exchange
1169,1132,directed,1,25,Exchange
1132,1169,directed,1,25,Exchange
1157,1169,directed,1,25,Exchange
1169,1157,directed,1,25,Exchange
1132,1166,directed,1,26,Exchange
1166,1132,directed,1,26,Exchange
1132,1141,directed,1,75,Exchange
1141,1132,directed,1,75,Exchange
1132,1135,directed,1,76,Exchange
1135,1132,directed,1,76,Exchange
1132,1228,directed,1,76,Exchange
