source,target,type,weight,startPage,category,Character 1,Character 2
897,896,directed,1,5,Exchange,,
896,897,directed,1,5,Exchange,,
898,897,directed,1,5,Exchange,,
897,898,directed,1,5,Exchange,,
900,899,directed,1,5,Exchange,,
899,900,directed,1,5,Exchange,,
897,899,directed,1,5,Relationship,,
898,899,directed,1,5,Relationship,,
896,899,directed,1,5,Relationship,,
898,900,directed,1,5,Relationship,,
897,900,directed,1,5,Relationship,,
906,897,directed,1,6,Relationship,,
897,896,directed,1,6,Exchange,,
904,897,directed,1,6,Relationship,,
902,901,directed,1,6,Relationship,,
896,897,directed,1,6,Exchange,,
897,899,directed,1,6,Relationship,,
896,899,directed,1,6,Relationship,,
897,903,directed,1,6,Relationship,,
903,897,directed,1,6,Relationship,,
905,897,directed,1,6,Relationship,,
901,902,directed,1,6,Relationship,,
897,905,directed,1,6,Relationship,,
897,902,directed,1,6,Relationship,,
896,903,directed,1,6,Relationship,,
901,899,directed,1,6,Relationship,,
903,896,directed,1,6,Relationship,,
897,904,directed,1,6,Relationship,,
897,906,directed,1,6,Relationship,,
897,907,directed,1,6,Relationship,,
907,897,directed,1,6,Relationship,,
902,897,directed,1,6,Relationship,,
897,901,directed,1,6,Relationship,,
902,899,directed,1,6,Relationship,,
896,903,directed,1,7,Relationship,,
905,897,directed,1,7,Relationship,,
897,905,directed,1,7,Relationship,,
904,897,directed,1,7,Relationship,,
897,904,directed,1,7,Relationship,,
903,897,directed,1,7,Relationship,,
897,903,directed,1,7,Relationship,,
903,896,directed,1,7,Relationship,,
896,897,directed,1,7,Exchange,,
907,897,directed,1,7,Relationship,,
897,907,directed,1,7,Relationship,,
906,897,directed,1,7,Relationship,,
897,906,directed,1,7,Relationship,,
897,896,directed,1,7,Exchange,,
906,896,directed,1,7,Relationship,,
896,907,directed,1,7,Relationship,,
905,896,directed,1,7,Relationship,,
907,896,directed,1,7,Relationship,,
896,905,directed,1,7,Relationship,,
904,896,directed,1,7,Relationship,,
896,904,directed,1,7,Relationship,,
896,906,directed,1,7,Relationship,,
899,896,directed,1,8,Exchange,,
897,896,directed,1,8,Exchange,,
896,897,directed,1,8,Exchange,,
896,899,directed,1,8,Exchange,,
897,2504,directed,1,8,Relationship,,
903,896,directed,1,8,Exchange,,
896,903,directed,1,8,Exchange,,
897,898,directed,1,8,Relationship,,
903,898,directed,1,8,Relationship,,
898,2504,directed,1,8,Relationship,,
898,903,directed,1,8,Relationship,,
2504,898,directed,1,8,Relationship,,
